지역,연령,인구(내국인) (명),남자 (명),여자 (명),성비
서울특별시,age0to4,371239,190370,180869,105.3
서울특별시,age5to9,365059,187265,177794,105.3
서울특별시,age10to14,376506,194431,182075,106.8
서울특별시,age15to19,516892,263408,253484,103.9
서울특별시,age20to24,673957,334376,339581,98.5
서울특별시,age25to29,720334,356094,364240,97.8
서울특별시,age30to34,772614,387306,385308,100.5
서울특별시,age35to39,773379,389706,383673,101.6
서울특별시,age40to44,764037,382466,381571,100.2
서울특별시,age45to49,809914,398078,411836,96.7
서울특별시,age50to54,734368,361428,372940,96.9
서울특별시,age55to59,763943,364202,399741,91.1
서울특별시,age60to64,598732,284156,314576,90.3
서울특별시,age65to69,435313,205629,229684,89.5
서울특별시,age70to74,336992,157699,179293,88
서울특별시,age75to79,240627,106687,133940,79.7
서울특별시,age80to84,132351,49862,82489,60.4
서울특별시,age85to89,59317,17258,42059,41
서울특별시,age90to94,19842,4833,15009,32.2
서울특별시,age95to99,4358,1037,3321,31.2
서울특별시,over100,565,83,482,17.2
서울특별시,age15to64,7128170,3521220,3606950,97.6
부산광역시,age0to4,131194,67473,63721,105.9
부산광역시,age5to9,130823,67179,63644,105.6
부산광역시,age10to14,132205,68629,63576,107.9
부산광역시,age15to19,192942,100929,92013,109.7
부산광역시,age20to24,237733,126904,110829,114.5
부산광역시,age25to29,204407,106383,98024,108.5
부산광역시,age30to34,216764,110921,105843,104.8
부산광역시,age35to39,248134,126590,121544,104.2
부산광역시,age40to44,250986,126276,124710,101.3
부산광역시,age45to49,281834,137103,144731,94.7
부산광역시,age50to54,277088,134359,142729,94.1
부산광역시,age55to59,314199,149308,164891,90.5
부산광역시,age60to64,253414,121093,132321,91.5
부산광역시,age65to69,186987,88491,98496,89.8
부산광역시,age70to74,137198,63487,73711,86.1
부산광역시,age75to79,104222,43369,60853,71.3
부산광역시,age80to84,58373,20189,38184,52.9
부산광역시,age85to89,26041,6561,19480,33.7
부산광역시,age90to94,8052,1582,6470,24.5
부산광역시,age95to99,1548,268,1280,20.9
부산광역시,over100,172,12,160,7.5
부산광역시,age15to64,2477501,1239866,1237635,100.2
대구광역시,age0to4,99198,50692,48506,104.5
대구광역시,age5to9,105478,54451,51027,106.7
대구광역시,age10to14,112807,59533,53274,111.7
대구광역시,age15to19,157226,82907,74319,111.6
대구광역시,age20to24,174130,95438,78692,121.3
대구광역시,age25to29,143280,78547,64733,121.3
대구광역시,age30to34,150002,77046,72956,105.6
대구광역시,age35to39,176247,87870,88377,99.4
대구광역시,age40to44,196854,96946,99908,97
대구광역시,age45to49,223499,109313,114186,95.7
대구광역시,age50to54,208701,103182,105519,97.8
대구광역시,age55to59,205773,100831,104942,96.1
대구광역시,age60to64,153802,73758,80044,92.1
